Timestamp,Threat Type,Source IP,Destination IP,Ports
2025-12-15 22:33:53,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:33:59,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:34:02,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:43:15,SQL Injection,192.168.1.106,Web Server,HTTP
2025-12-15 22:44:53,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:45:07,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:45:07,Possible DDoS,23.209.103.224,N/A,15790
2025-12-15 22:45:11,Possible DDoS,23.209.103.224,N/A,15790
2025-12-15 22:45:12,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:45:16,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:45:16,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:45:18,Possible DDoS,23.209.103.224,N/A,15790
2025-12-15 22:45:19,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:45:19,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:45:21,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:45:24,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:45:25,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:45:26,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:45:27,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:45:32,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:45:35,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:45:37,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:45:42,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:45:42,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:45:47,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:45:52,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:45:57,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:45:57,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:46:03,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:46:08,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:46:32,SQL Injection,192.168.1.106,Web Server,HTTP
2025-12-15 22:46:49,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:46:57,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:47:02,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:47:07,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:47:12,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:47:18,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:47:23,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:47:28,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:47:33,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:47:37,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:47:39,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:47:42,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:47:42,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:49:59,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:50:01,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:50:03,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:50:05,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:50:07,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:50:09,Possible DDoS,192.168.1.106,N/A,443
